tic_id,sector,label,dataset,fits_file,chunk_points,chunk_duration_days,chunk_start,chunk_end,largest_gap_days,largest_gap_hours,num_chunks
709015,91,1,confirmed,tess2025099153000-s0091-0000000000709015-0288-s_lc.fits,4788,6.648476700451738,3789.436043963604,3796.0845206640556,6.349962324478838,152.39909578749212,5
1129033,4,1,confirmed,tess2018292075959-s0004-0000000001129033-0124-s_lc.fits,8551,11.95666564496446,1424.560748910731,1436.5174145556955,2.7263678107231044,65.4328274573545,3
1129033,31,1,confirmed,tess2020294194027-s0031-0000000001129033-0198-s_lc.fits,8213,11.429097441984595,2144.5201763588725,2155.949273800857,2.918012800801989,70.03230721924774,2
2521105,91,1,confirmed,tess2025099153000-s0091-0000000002521105-0288-s_lc.fits,4788,6.648510542385793,3789.436096291734,3796.0846068341198,7.763884297341974,186.33322313620738,4
2764004,91,1,confirmed,tess2025099153000-s0091-0000000002764004-0288-s_lc.fits,4788,6.648555942964322,3789.4361329774615,3796.084688920426,7.575044603276638,181.8010704786393,4
4070275,5,1,confirmed,tess2018319095959-s0005-0000000004070275-0125-s_lc.fits,8666,12.091768828518525,1451.5603707597113,1463.6521395882298,1.4972518819770357,35.93404516744886,2
4070275,32,1,confirmed,tess2020324010417-s0032-0000000004070275-0200-s_lc.fits,9317,12.951386714505134,2187.1837238029766,2200.1351105174817,2.0514093497135946,49.23382439312627,2
4070275,98,1,confirmed,tess2025312202959-s0098-0000000004070275-0298-s_lc.fits,5082,7.06102929307508,4024.52960692809,4031.590636221165,5.1667674652858295,124.00241916685991,11
4616072,6,1,confirmed,tess2018349182500-s0006-0000000004616072-0126-s_lc.fits,8436,11.818143710728691,1478.2302043833622,1490.048348094091,1.2666841101570299,30.400418643768717,2
4616072,7,1,confirmed,tess2019006130736-s0007-0000000004616072-0131-s_lc.fits,8098,11.304061323891801,1491.737233190768,1503.0412945146597,1.8555219364995992,44.53252647599038,2
4616072,33,1,confirmed,tess2020351194500-s0033-0000000004616072-0203-s_lc.fits,8731,12.137483075363434,2215.4382919439577,2227.575775019321,1.5708436944128152,37.700248665907566,2
4616072,87,1,confirmed,tess2024353092137-s0087-0000000004616072-0284-s_lc.fits,4829,6.711176713321493,3669.7328911657182,3676.4440678790397,2.95695342459112,70.96688219018688,5
5078530,22,1,confirmed,tess2020049080258-s0022-0000000005078530-0174-s_lc.fits,8807,12.364018605082947,1900.1435466670766,1912.5075652721596,4.016650736765314,96.39961768236753,2
5078530,49,1,confirmed,tess2022057073128-s0049-0000000005078530-0221-s_lc.fits,7382,10.262477138434406,2640.1864053073505,2650.448882445785,5.426297435225933,130.2311384454224,2
6663331,13,1,confirmed,tess2019169103026-s0013-0000000006663331-0146-s_lc.fits,9728,13.731776941947828,1668.629968031382,1682.36174497333,0.9347188881984039,22.433253316761693,4
6663331,67,1,confirmed,tess2023181235917-s0067-0000000006663331-0261-s_lc.fits,5009,7.238714378687291,3140.4709111129673,3147.7096254916546,4.088837891526055,98.13210939662531,4
6663331,94,1,confirmed,tess2025180145000-s0094-0000000006663331-0291-s_lc.fits,3848,5.619340461187676,3870.013210474963,3875.632550936151,2.1444148500904703,51.46595640217129,5
8260536,48,1,confirmed,tess2022027120115-s0048-0000000008260536-0219-s_lc.fits,8407,11.762744481846767,2609.8694764138613,2621.632220895708,4.483359148970067,107.6006195752816,2
8400842,19,1,confirmed,tess2019331140908-s0019-0000000008400842-0164-s_lc.fits,8637,12.13174504082167,1828.9709891128136,1841.1027341536353,1.2652724900167414,30.366539760401793,2
8400842,59,1,confirmed,tess2022330142927-s0059-0000000008400842-0248-s_lc.fits,4596,6.387485797157751,2916.963537399138,2923.351023196296,2.086094457470608,50.066266979294596,4
8400842,73,1,confirmed,tess2023341045131-s0073-0000000008400842-0268-s_lc.fits,4650,6.458228793866965,3292.4869259161674,3298.9451547100343,6.604002793165819,158.49606703597965,5
8400842,86,1,confirmed,tess2024326142117-s0086-0000000008400842-0283-s_lc.fits,4733,6.637540544725653,3642.9737953018994,3649.611335846625,8.33605915936323,200.06541982471754,21
8767448,21,1,confirmed,tess2020020091053-s0021-0000000008767448-0167-s_lc.fits,9598,13.55703693425221,1870.4411351070657,1883.998172041318,2.912484288983478,69.89962293560347,2
9006668,2,1,confirmed,tess2018234235059-s0002-0000000009006668-0121-s_lc.fits,9226,13.044553897468177,1354.113756470931,1367.1583103683993,1.4486116364992085,34.766679275981005,3
9006668,29,1,confirmed,tess2020238165205-s0029-0000000009006668-0193-s_lc.fits,7516,10.458371520252967,2088.2454168543513,2098.7037883746043,3.629157099589065,87.09977039013756,2
9006668,69,1,confirmed,tess2023237165326-s0069-0000000009006668-0264-s_lc.fits,4358,6.080500085249241,3195.4380203718397,3201.518520457089,2.4305533788287903,58.33328109189097,10
9006668,96,1,confirmed,tess2025232030459-s0096-0000000009006668-0293-s_lc.fits,4229,5.879084300850991,3927.3705884030255,3933.2496727038765,3.4125057332894357,81.90013759894646,5
10837041,30,1,confirmed,tess2020266004630-s0030-0000000010837041-0195-s_lc.fits,8304,11.569326111167356,2130.2147837530283,2141.7841098641957,3.605576282471702,86.53383077932085,2
10837041,97,1,confirmed,tess2025258001959-s0097-0000000010837041-0294-s_lc.fits,5065,7.0470488705759635,3967.661997218939,3974.709046089515,3.462383740995392,83.09720978388941,8
11023038,92,1,confirmed,tess2025127075000-s0092-0000000011023038-0289-s_lc.fits,4281,5.944948505602042,3803.565082577044,3809.510031082646,3.3683087255349164,80.839409412838,4
11439959,92,1,confirmed,tess2025127075000-s0092-0000000011439959-0289-s_lc.fits,4348,6.038013423587472,3803.4720513219936,3809.510064745581,3.1307900192477973,75.13896046194714,4
11755687,87,1,confirmed,tess2024353092137-s0087-0000000011755687-0284-s_lc.fits,4829,6.711037990030036,3669.7340946972085,3676.4451326872386,2.759665064540968,66.23196154898324,5
12421862,2,1,confirmed,tess2018234235059-s0002-0000000012421862-0121-s_lc.fits,9226,13.044699424071041,1354.1131417625459,1367.157841186617,1.448629054093999,34.767097298255976,3
12421862,29,1,confirmed,tess2020238165205-s0029-0000000012421862-0193-s_lc.fits,6779,9.434873963793052,2088.244840970942,2097.679714934735,4.652820473376778,111.66769136104267,2
12421862,69,1,confirmed,tess2023237165326-s0069-0000000012421862-0264-s_lc.fits,4433,6.1847490814807315,3195.3334013726953,3201.518150454176,2.7097496011706426,65.03399042809542,10
12421862,96,1,confirmed,tess2025232030459-s0096-0000000012421862-0293-s_lc.fits,4276,5.952770730978045,3927.3701529076943,3933.3229236386724,3.359766505659991,80.63439613583978,5
13349647,8,1,confirmed,tess2019032160000-s0008-0000000013349647-0136-s_lc.fits,7855,11.006896634410623,1518.0633235738576,1529.0702202082682,5.933234464359884,142.39762714463723,2
13349647,34,1,confirmed,tess2021014023720-s0034-0000000013349647-0204-s_lc.fits,8505,11.822527073775746,2229.087642368896,2240.9101694426718,1.541684223876473,37.00042137303535,2
13349647,61,1,confirmed,tess2023018032328-s0061-0000000013349647-0250-s_lc.fits,4031,5.597295996672528,2969.5542427176383,2975.151538714311,1.7097333596607314,41.03360063185755,4
13349647,88,1,confirmed,tess2025014115807-s0088-0000000013349647-0285-s_lc.fits,4963,6.895968782594537,3696.997783704701,3703.8937524872954,2.669462478996138,64.06709949590731,5
13349647,99,1,confirmed,tess2026005125623-s0099-0000000013349647-0300-s_lc.fits,3221,4.472280744701948,4067.411591999156,4071.883872743858,7.294653848055987,175.07169235334368,4
14156936,71,1,confirmed,tess2023289093419-s0071-0000000014156936-0266-s_lc.fits,4192,5.820979538259053,3253.5919120423255,3259.4128915805845,2.382043949227409,57.16905478145782,4
14227229,70,1,confirmed,tess2023263165758-s0070-0000000014227229-0265-s_lc.fits,4048,5.62132977652891,3208.926542505218,3214.547872281747,2.211274881135978,53.07059714726347,4
14227229,71,1,confirmed,tess2023289093419-s0071-0000000014227229-0266-s_lc.fits,4192,5.820982460283631,3253.5919042564688,3259.4128867167524,2.3431546914493993,56.23571259478558,4
14570090,44,1,confirmed,tess2021284114741-s0044-0000000014570090-0215-s_lc.fits,8142,11.331674639749508,2500.3925382793236,2511.724212919073,2.8377789093842694,68.10669382522246,2
14570090,45,1,confirmed,tess2021310001228-s0045-0000000014570090-0216-s_lc.fits,8423,11.710827274102485,2526.2700925286777,2537.98091980278,2.847478307795427,68.33947938709025,2
14570090,46,1,confirmed,tess2021336043614-s0046-0000000014570090-0217-s_lc.fits,8556,11.89666910433607,2552.725198526712,2564.621867631048,2.740441645685223,65.77059949644536,2
14570090,71,1,confirmed,tess2023289093419-s0071-0000000014570090-0266-s_lc.fits,4121,5.722777757551285,3253.5874733889864,3259.3102511465377,2.5516319740936524,61.23916737824766,4
14570090,72,1,confirmed,tess2023315124025-s0072-0000000014570090-0267-s_lc.fits,4531,6.295005000000401,3266.5651056987285,3272.860110698729,2.572437261842879,61.73849428422909,4
14570099,44,1,confirmed,tess2021284114741-s0044-0000000014570099-0215-s_lc.fits,8142,11.331674551201104,2500.3925360761637,2511.7242106273648,2.8377788909469928,68.10669338272783,2
14570099,45,1,confirmed,tess2021310001228-s0045-0000000014570099-0216-s_lc.fits,8426,11.714994475591084,2526.2659231611656,2537.9809176367567,2.847478340624548,68.33948017498915,2
14570099,46,1,confirmed,tess2021336043614-s0046-0000000014570099-0217-s_lc.fits,8556,11.89666942634085,2552.725196628444,2564.6218660547847,2.7404417192597066,65.77060126223296,2
14570099,71,1,confirmed,tess2023289093419-s0071-0000000014570099-0266-s_lc.fits,4121,5.722777801090615,3253.5874710980493,3259.31024889914,2.5516319654934705,61.23916717184329,4
14570099,72,1,confirmed,tess2023315124025-s0072-0000000014570099-0267-s_lc.fits,4531,6.295005104075699,3266.565103511983,3272.860108616059,2.57243729839729,61.738495161534956,4
14770122,44,1,confirmed,tess2021284114741-s0044-0000000014770122-0215-s_lc.fits,8245,11.474748141120472,2500.25047717813,2511.7252253192505,2.1807662369392347,52.33838968654163,2
14770122,45,1,confirmed,tess2021310001228-s0045-0000000014770122-0216-s_lc.fits,8372,11.639898662703672,2526.341902033724,2537.981800696428,2.7960614143075873,67.1054739433821,2
14770122,46,1,confirmed,tess2021336043614-s0046-0000000014770122-0217-s_lc.fits,7714,10.726977427217662,2553.895443693123,2564.6224211203407,3.5154382036425886,84.37051688742213,2
14770122,71,1,confirmed,tess2023289093419-s0071-0000000014770122-0266-s_lc.fits,4195,5.826917368316572,3253.588457278339,3259.4153746466554,2.911384727123277,69.87323345095865,4
14770122,72,1,confirmed,tess2023315124025-s0072-0000000014770122-0267-s_lc.fits,4562,6.3380009184838855,3266.566004287971,3272.9040052064547,3.5572096990058526,85.37303277614046,4
15756231,43,1,confirmed,tess2021258175143-s0043-0000000015756231-0214-s_lc.fits,8190,11.389751800821614,2487.184497286494,2498.574249087316,2.5877107989572323,62.105059174973576,2
15756231,44,1,confirmed,tess2021284114741-s0044-0000000015756231-0215-s_lc.fits,8070,11.2379589576758,2513.207065187999,2524.445024145675,2.441791986459066,58.60300767501758,2
16005254,71,1,confirmed,tess2023289093419-s0071-0000000016005254-0266-s_lc.fits,4192,5.821011855152392,3253.5917954887022,3259.4128073438546,2.325108896198799,55.802613508771174,4
